"header","class","mechanism","group","stewartERR2027901","wallaceERR2530126","stewartERR2027926","stewartERR2027907","wallaceERR2282092","stewartERR2027900","shiSRR873597","stewartERR2027892","stewartERR2027894","stewartERR2027906","stewartERR2027895","stewartERR2027897","wallaceERR983265","stewartERR2027922","stewartERR2027898","wallaceERR983264","stewartERR2027915","stewartERR2027929","stewartERR2027928","stewartERR2027904","wallaceERR2530127","stewartERR2027917","wallaceERR983262","stewartERR2027905"
"ICEberg|107|TnB1230|GenBank|AJ222769|1..11849","TnB1230","TnB1230","TnB1230",967736.842105263,1000,1945.86027640421,1709.97522180481,1163.92395551548,1188.85575630006,46594.2857142857,1000,1245.18604314464,1000,1000,3313.79787724965,1000,1972.04268750939,1000,949.288708243363,6403.85265292328,3080.9180520818,3753.05623471883,1187.59145449224,1000,2331.82214472537,1226.42852520546,1065.52957644253
"ICEberg|169|Tn6107|GenBank|JF422667|1..464","Tn6107","Tn6107","Tn6107",0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ICEberg|192|ICE(Tn4371)6033|GenBank|CP001068|2715199..2769318","ICE(Tn4371)6033","ICE(Tn4371)6033","ICE(Tn4371)6033",0,0,0,0,371.468289750526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ICEberg|2|CTn341|GenBank|AY515263|1..51993","CTn341","CTn341","CTn341",0,0,0,0,0,0,0,1043.18567189487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ICEberg|344|ICEBsa18170-1|GenBank|CP002530|2939772..2990351","ICEBsa18170-1","ICEBsa18170-1","ICEBsa18170-1",0,0,0,589.361362001439,615.832581905621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918.983513803531,0,0,0,0
"ICEberg|345|ICEBxyXB1A-1|GenBank|FP929033|4227232..4279471","ICEBxyXB1A-1","ICEBxyXB1A-1","ICEBxyXB1A-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0
"ICEberg|3|CTnDOT|GenBank|AJ319661|1..3718","CTnDOT","CTnDOT","CTnDOT",0,0,0,0,12.6991283438533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8274314701005,0,0,0,0
"ICEberg|3|CTnDOT|GenBank|AJ431573|1..7655","CTnDOT","CTnDOT","CTnDOT",0,0,0,0,0,71.3909840378881,0,0,39.6699001013465,0,0,0,0,0,0,0,0,0,0,62.1890547263682,0,0,0,22.2924983151019
"ICEberg|58|ICEBfrYCH46-1|GenBank|AP006841|114653..163822","ICEBfrYCH46-1","ICEBfrYCH46-1","ICEBfrYCH46-1",0,2166.74134289189,1000,410.638637998561,740.494439434926,928.609015962112,0,0,960.330099898654,0,2137.72493164621,1000,0,1000,1782.23951883955,1109.29759939032,0,1000,1000,1071.79787337821,3228.66736135232,1000,1000,977.707501684898
"ICEberg|65|CTnGERM1|GenBank|AJ557257|1..18842","CTnGERM1","CTnGERM1","CTnGERM1",0,0,0,0,0,1028.94229082617,0,0,0,1414.4424338385,0,0,1879.79071288424,0,0,0,0,0,0,0,0,0,0,0
"ICEberg|92|Tn1549|GenBank|AF192329|1..33805","Tn1549","Tn1549","Tn1549",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.7112917566366,0,0,0,0,0,0,0,0
"ICEberg|93|TcrEmr7853|GenBank|L42817|1..1076","TcrEmr7853","TcrEmr7853","TcrEmr7853",1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
